ByteBuffer,ImageBuffer,OpenCVBuffer
91.9323,96.3508,96.8848
106.636,97.8863,98.1392
93.6584,99.4727,97.6434
105.187,98.8886,100.22
94.5576,99.0547,104.723
105.341,96.8034,100.072
94.4168,94.0239,98.6891
105.353,104.99,99.0719
94.391,95.8322,97.3622
107.689,107.984,98.0698
99.1873,95.5191,107.692
98.2681,95.4705,98.9338
97.27,102.863,98.7929
107.228,102.757,98.5117
98.4349,95.3311,99.6584
99.1733,106.538,96.7632
98.5447,98.5903,107.533
98.5101,98.8793,98.8717
106.564,95.1312,98.8445
99.6298,105.117,98.9293
99.4198,94.8511,99.0043
98.6261,103.572,96.6007
100.029,95.9294,107.928
98.2524,105.889,97.6868
98.3937,93.9104,98.9474
98.502,103.546,99.1115
106.073,95.4408,98.8271
98.9051,104.69,95.2709
97.0456,94.9215,106.382
95.2671,105.016,95.1054
104.306,96.1754,103.308
94.6412,103.93,94.7578
103.261,94.5365,104.955
105.444,103.288,94.7722
94.2041,107.063,105.151
106.008,98.1753,95.1973
99.5224,98.7266,104.608
98.6487,98.3727,104.582
98.7791,101.659,93.7569
97.6015,99.5264,105.345
107.91,95.9697,94.7882
98.6004,107.693,107.331
98.8187,99.2011,98.6885
98.6613,99.1286,99.8714
98.5072,99.7954,98.4396
96.8021,94.653,94.7555
106.869,105.453,105.649
99.4392,94.1844,95.5875
98.4129,105.641,104.435
100.35,94.3487,94.6342
98.3401,104.729,104.627
96.8941,98.7036,99.4522
107.58,96.587,97.8831
98.7744,109.496,106.745
98.8703,98.1561,97.8023
99.0864,96.9522,99.1319
98.3181,98.5654,98.08
98.0442,97.2154,100.579
106.104,108.862,98.2894
100.728,95.8857,96.7484
97.7417,94.8435,108.1
98.8174,105.923,99.3727
98.6218,94.8356,99.3913
96.8666,104.378,97.7246
107.342,94.6285,98.1781
98.9813,104.823,96.4675
96.856,94.777,104.694
94.4623,104.338,93.827
105.379,95.5521,105.862
94.6828,104.859,97.7244
105.512,95.0654,106.526
94.1673,104.256,99.1834
105.498,94.2793,99.8804
95.0427,102.526,97.6169
105.333,105.534,98.5828
94.4256,97.594,98.4605
105.5,99.5411,106.517
95.4239,96.3168,99.1263
103.897,104.805,99.13
103.918,92.8546,99.5143
98.0731,106.26,98.3646
98.772,93.9362,96.6901
96.7735,103.824,107.04
108.184,105.617,99.6049
98.232,94.0282,97.7385
100.216,104.864,95.167
98.7661,94.907,104.386
92.7773,106.585,99.7
104.995,93.0737,97.7014
96.6266,106.352,107.463
103.603,99.8652,98.3015
95.5887,97.5468,99.2476
104.32,96.3453,98.127
94.4696,107.781,99.0079
102.718,99.6424,96.0763
105.828,99.2849,108.538
97.9608,94.3573,96.2839
100.036,104.804,95.2764
95.7823,99.7584,105.047
109.719,94.2156,98.7205
