ByteBuffer,ImageBuffer,OpenCVBuffer
146.096,147.071,152.364
134.895,147.7,181.871
98.995,144.446,203.975
113.61,163.649,171.914
103.445,116.902,151.441
121.582,117.452,162.074
93.7398,147.563,152.192
93.6528,147.634,155.369
373.577,150.275,152.025
122.155,153.843,155.677
119.668,154.17,152.304
112.73,131.715,155.6
102.833,143.009,150.755
100.31,115.404,195.802
370.711,111.535,168.739
103.463,110.797,153.099
115.501,144.351,160.002
102.911,134.283,156.2
119.193,371.294,182.264
105.84,169.683,209.27
103.835,139.614,171.597
111.914,171.236,149.014
368.139,138.111,157.076
111.754,169.781,146.457
102.569,158.92,164.638
112.328,148.76,119.31
107.844,141.181,158.023
103.415,174.888,144.034
99.1148,148.199,151.872
103.187,120.177,153.073
101.385,145.222,157.033
106.751,132.65,152.824
103.135,168.187,156.463
112.496,140.094,131.951
103.116,174.418,175.519
119.915,151.744,147.16
101.479,115.847,151.924
114.641,119.172,190.868
94.8212,110.398,170.664
110.582,152.599,114.7
110.251,134.818,159.459
114.523,395.726,182.164
96.7363,119.164,195.926
100.852,139.246,210.012
99.7263,137.99,205.035
102.35,143.372,170.556
105.266,146.081,152.945
109.905,151.675,158.599
106.489,152.464,151.84
108.105,184.476,153.908
102.82,167.344,151.998
102.935,148.137,155.719
128.826,159.431,152.955
109.813,148.927,158.691
105.506,160.97,154.138
103.863,118.053,154.327
113.756,112.814,147.804
103.153,118.588,160.715
108.095,146.398,148.882
103.48,413.617,191.964
125.268,143.035,177.054
111.258,114.849,123.195
106.168,151.103,116.41
102.634,129.327,146.451
103.989,300.726,132.025
121.674,119.761,306.206
98.0861,111.177,153.952
108.509,146.786,147.658
103.31,132.294,149.56
101.741,314.522,161.366
124.248,117.829,147.315
109.329,144.73,162.249
103.09,151.168,114.809
114.729,119.043,148.052
103.416,115.667,133.208
114.003,147.028,168.119
111.131,440.106,141.192
107.953,121.707,168.503
114.539,148.296,156.294
108.367,144.457,150.916
104.262,119.7,141.809
113.523,147.271,167.545
107.299,333.278,141.589
101.572,174.065,174.601
96.4703,148.744,151.329
126.864,151.805,113.709
103.93,157.488,113.372
109.018,114.687,116.468
101.053,150.42,143.366
120.098,146.83,422.767
95.8197,114.983,144.146
112.836,143.883,115.53
100.483,158.139,141.969
111.357,156.195,133.318
107.65,149.537,304.672
103.221,155.059,116.381
120.14,152.093,147.154
102.308,114.259,152.765
122.826,142.568,156.347
95.7066,154.478,148.698
