ByteBuffer,ImageBuffer,OpenCVBuffer
99.262,100.428,104.157
101.901,99.4067,96.1519
101.983,102.154,102.771
102.494,102.558,103.156
102.819,102.789,102.315
102.475,102.918,103.608
103.718,102.755,101.428
102.926,103.08,103.447
102.699,102.76,103.837
103.054,104.179,102.969
102.888,100.522,102.741
103.946,103.313,103.005
101.999,102.679,102.747
102.745,102.906,102.794
103.368,104.361,103.337
103.507,103.338,101.822
103.169,101.365,103.193
103.149,104.479,103.318
102.719,103.132,101.985
102.731,103.006,104.422
103.562,103.515,102.832
102.265,101.651,102.341
103.453,104.211,103.846
103.371,102.92,102.39
102.429,101.34,103.08
103.317,102.727,102.595
103.156,103.136,103.187
102.398,103.926,103.052
102.714,102.776,103.736
103.276,102.614,101.93
102.938,103.237,103.973
103.115,104.102,102.823
102.953,103.216,102.699
102.915,102.304,103.052
103.116,103.809,102.931
103.073,102.088,102.834
102.791,103.611,103.084
103.056,103.371,102.704
103.078,102.358,103.303
103.21,102.741,102.923
102.925,103.309,102.17
103.173,103.031,104.11
102.701,102.958,102.687
103.042,103.032,103.145
102.775,103.91,103.037
103.337,103.687,102.741
102.724,100.097,103.948
103.26,102.893,102.953
103.376,102.695,102.88
103.012,104.449,103.386
102.811,103.78,102.933
103.064,103.962,102.351
102.836,101.256,102.828
103.124,103.515,103.07
103.165,102.479,103.27
102.84,103.385,102.916
102.91,103.405,102.821
103.094,102.533,103.129
102.451,103.248,102.718
103.608,102.758,102.866
103.565,103.43,103.325
102.44,102.757,102.231
103.789,101.655,103.479
102.217,104.752,103.048
102.91,102.838,103.092
103.166,102.573,104.275
102.598,103.748,101.645
103.569,101.945,102.827
103.5,103.623,103.291
102.244,102.355,102.888
103.471,103.167,103.155
102.02,103.374,102.905
103.585,102.609,103.238
103.859,101.943,103.325
103.099,104.927,102.339
101.506,102.134,103.709
104.253,103.582,102.105
102.751,102.771,103.432
103.16,102.954,102.975
102.502,103.428,102.942
103.113,103.317,104.111
102.38,102.58,102.479
102.748,103.201,102.49
103.346,102.578,102.998
103.269,102.534,103.155
102.604,102.336,102.689
103.768,103.896,102.8
102.038,102.928,103.646
103.158,103.139,103.548
102.852,102.743,101.694
103.002,103.756,103.099
103.021,101.562,103.17
102.831,104.903,103.162
103.431,102.644,103.07
102.762,102.421,102.967
104.32,106.361,105.987
101.716,101.491,99.7023
102.76,101.145,103.096
103.439,103.593,102.791
102.919,103.31,103.108
