Linux 4.15.0-33-generic (uspanzto20) 	09/07/2018 	_x86_64_	(8 CPU)

02:28:56 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:28:57 PM     all      1.00      0.00      0.25      0.00      0.00     98.75
02:28:57 PM       0      1.01      0.00      0.00      0.00      0.00     98.99
02:28:57 PM       1      2.04      0.00      0.00      0.00      0.00     97.96
02:28:57 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:28:57 PM       3      1.01      0.00      0.00      0.00      0.00     98.99
02:28:57 PM       4      1.00      0.00      0.00      0.00      0.00     99.00
02:28:57 PM       5      0.99      0.00      0.99      0.00      0.00     98.02
02:28:57 PM       6      1.00      0.00      1.00      0.00      0.00     98.00
02:28:57 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:28:57 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:28:58 PM     all      0.25      0.00      0.38      0.00      0.00     99.37
02:28:58 PM       0      0.00      0.00      1.00      0.00      0.00     99.00
02:28:58 PM       1      0.00      0.00      1.00      0.00      0.00     99.00
02:28:58 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:28:58 PM       3      1.96      0.00      0.98      0.00      0.00     97.06
02:28:58 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:28:58 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:28:58 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:28:58 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:28:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:28:59 PM     all      1.38      0.00      0.50      0.00      0.00     98.12
02:28:59 PM       0      3.92      0.00      0.98      0.00      0.00     95.10
02:28:59 PM       1      0.00      0.00      2.02      0.00      0.00     97.98
02:28:59 PM       2      1.96      0.00      1.96      0.00      0.00     96.08
02:28:59 PM       3      1.00      0.00      1.00      0.00      0.00     98.00
02:28:59 PM       4      0.99      0.00      0.99      0.00      0.00     98.02
02:28:59 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:28:59 PM       6      2.00      0.00      0.00      0.00      0.00     98.00
02:28:59 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:28:59 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:00 PM     all      0.75      0.00      0.38      0.00      0.00     98.87
02:29:00 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:00 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
02:29:00 PM       2      3.00      0.00      1.00      0.00      0.00     96.00
02:29:00 PM       3      1.01      0.00      0.00      0.00      0.00     98.99
02:29:00 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:00 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:00 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:00 PM       7      0.99      0.00      0.99      0.00      0.00     98.02

02:29:00 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:01 PM     all      0.25      0.00      0.38      0.00      0.00     99.37
02:29:01 PM       0      0.98      0.00      0.98      0.00      0.00     98.04
02:29:01 PM       1      1.02      0.00      0.00      0.00      0.00     98.98
02:29:01 PM       2      1.01      0.00      0.00      0.00      0.00     98.99
02:29:01 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:01 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:01 PM       5      0.99      0.00      0.00      0.00      0.00     99.01
02:29:01 PM       6      0.00      0.00      0.99      0.00      0.00     99.01
02:29:01 PM       7      0.00      0.00      1.00      0.00      0.00     99.00

02:29:01 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:02 PM     all      0.38      0.00      0.38      0.13      0.00     99.12
02:29:02 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:02 PM       1      1.06      0.00      0.00      1.06      0.00     97.87
02:29:02 PM       2      1.00      0.00      1.00      0.00      0.00     98.00
02:29:02 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:02 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:02 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:02 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:02 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:29:02 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:03 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
02:29:03 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:03 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
02:29:03 PM       2      1.01      0.00      0.00      0.00      0.00     98.99
02:29:03 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:03 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:03 PM       5      0.00      0.00      1.96      0.00      0.00     98.04
02:29:03 PM       6      0.00      0.00      1.00      0.00      0.00     99.00
02:29:03 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:29:03 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:04 PM     all      0.50      0.00      0.38      0.00      0.00     99.12
02:29:04 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:04 PM       1      1.04      0.00      2.08      0.00      0.00     96.88
02:29:04 PM       2      1.96      0.00      0.98      0.00      0.00     97.06
02:29:04 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:04 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:04 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:04 PM       6      0.99      0.00      0.99      0.00      0.00     98.02
02:29:04 PM       7      0.00      0.00      0.99      0.00      0.00     99.01

02:29:04 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:05 PM     all      0.63      0.00      0.38      0.13      0.00     98.87
02:29:05 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:05 PM       1      1.05      0.00      1.05      0.00      0.00     97.89
02:29:05 PM       2      2.00      0.00      0.00      0.00      0.00     98.00
02:29:05 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:05 PM       4      0.00      0.00      0.00      0.99      0.00     99.01
02:29:05 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:05 PM       6      0.99      0.00      0.99      0.00      0.00     98.02
02:29:05 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:29:05 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:06 PM     all      0.38      0.00      0.25      0.00      0.00     99.37
02:29:06 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:06 PM       1      1.04      0.00      1.04      0.00      0.00     97.92
02:29:06 PM       2      1.01      0.00      0.00      0.00      0.00     98.99
02:29:06 PM       3      0.00      0.00      0.99      0.00      0.00     99.01
02:29:06 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:06 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:06 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:06 PM       7      0.00      0.00      1.00      0.00      0.00     99.00

02:29:06 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:07 PM     all      0.38      0.00      0.25      0.13      0.00     99.24
02:29:07 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:07 PM       1      0.00      0.00      0.00      1.08      0.00     98.92
02:29:07 PM       2      1.00      0.00      0.00      0.00      0.00     99.00
02:29:07 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:07 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:07 PM       5      0.99      0.00      0.99      0.00      0.00     98.02
02:29:07 PM       6      0.99      0.00      0.00      0.00      0.00     99.01
02:29:07 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:29:07 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:08 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
02:29:08 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:08 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
02:29:08 PM       2      1.01      0.00      0.00      0.00      0.00     98.99
02:29:08 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:08 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:08 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:08 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:08 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:29:08 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:09 PM     all      0.38      0.00      0.38      0.00      0.00     99.25
02:29:09 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:09 PM       1      1.05      0.00      1.05      0.00      0.00     97.89
02:29:09 PM       2      1.00      0.00      1.00      0.00      0.00     98.00
02:29:09 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:09 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:09 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:09 PM       6      0.00      0.00      1.00      0.00      0.00     99.00
02:29:09 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

02:29:09 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:10 PM     all      0.25      0.00      0.38      0.00      0.00     99.37
02:29:10 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
02:29:10 PM       1      0.00      0.00      1.06      0.00      0.00     98.94
02:29:10 PM       2      0.00      0.00      0.99      0.00      0.00     99.01
02:29:10 PM       3      0.99      0.00      0.00      0.00      0.00     99.01
02:29:10 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:10 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:10 PM       6      0.99      0.00      0.00      0.00      0.00     99.01
02:29:10 PM       7      0.99      0.00      0.99      0.00      0.00     98.02

02:29:10 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:11 PM     all      0.13      0.00      0.38      0.00      0.00     99.50
02:29:11 PM       0      0.00      0.00      1.01      0.00      0.00     98.99
02:29:11 PM       1      0.00      0.00      1.06      0.00      0.00     98.94
02:29:11 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:11 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:11 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:11 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:11 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:11 PM       7      1.00      0.00      1.00      0.00      0.00     98.00

02:29:11 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:12 PM     all      0.38      0.00      0.13      0.13      0.00     99.37
02:29:12 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
02:29:12 PM       1      0.00      0.00      1.06      1.06      0.00     97.87
02:29:12 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:12 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:12 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:12 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:12 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:12 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

02:29:12 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:13 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
02:29:13 PM       0      0.99      0.00      0.99      0.00      0.00     98.02
02:29:13 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
02:29:13 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:13 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:13 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:13 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:13 PM       6      1.98      0.00      0.00      0.00      0.00     98.02
02:29:13 PM       7      0.00      0.00      0.99      0.00      0.00     99.01

02:29:13 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:29:14 PM     all      0.38      0.00      0.00      0.00      0.00     99.62
02:29:14 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
02:29:14 PM       1      1.05      0.00      1.05      0.00      0.00     97.89
02:29:14 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
02:29:14 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
02:29:14 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
02:29:14 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
02:29:14 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
02:29:14 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

