Linux 4.15.0-33-generic (uspanzto20) 	09/07/2018 	_x86_64_	(8 CPU)

03:24:52 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:24:53 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
03:24:53 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:24:53 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
03:24:53 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:24:53 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:24:53 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:24:53 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:24:53 PM       6      1.01      0.00      0.00      0.00      0.00     98.99
03:24:53 PM       7      2.02      0.00      0.00      0.00      0.00     97.98

03:24:53 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:24:54 PM     all      1.25      0.00      0.62      0.00      0.00     98.13
03:24:54 PM       0      1.98      0.00      0.99      0.00      0.00     97.03
03:24:54 PM       1      1.01      0.00      0.00      0.00      0.00     98.99
03:24:54 PM       2      2.02      0.00      0.00      0.00      0.00     97.98
03:24:54 PM       3      0.99      0.00      0.99      0.00      0.00     98.02
03:24:54 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:24:54 PM       5      1.98      0.00      0.99      0.00      0.00     97.03
03:24:54 PM       6      1.01      0.00      0.00      0.00      0.00     98.99
03:24:54 PM       7      0.00      0.00      1.00      0.00      0.00     99.00

03:24:54 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:24:55 PM     all      1.13      0.00      0.38      0.00      0.00     98.49
03:24:55 PM       0      1.01      0.00      1.01      0.00      0.00     97.98
03:24:55 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
03:24:55 PM       2      2.00      0.00      0.00      0.00      0.00     98.00
03:24:55 PM       3      1.03      0.00      0.00      0.00      0.00     98.97
03:24:55 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:24:55 PM       5      3.00      0.00      0.00      0.00      0.00     97.00
03:24:55 PM       6      0.99      0.00      0.99      0.00      0.00     98.02
03:24:55 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

03:24:55 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:24:56 PM     all      0.75      0.00      0.62      0.00      0.00     98.63
03:24:56 PM       0      0.00      0.00      0.99      0.00      0.00     99.01
03:24:56 PM       1      1.96      0.00      0.98      0.00      0.00     97.06
03:24:56 PM       2      0.99      0.00      0.99      0.00      0.00     98.02
03:24:56 PM       3      0.99      0.00      1.98      0.00      0.00     97.03
03:24:56 PM       4      0.98      0.00      0.98      0.00      0.00     98.04
03:24:56 PM       5      1.00      0.00      0.00      0.00      0.00     99.00
03:24:56 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:24:56 PM       7      0.00      0.00      1.01      0.00      0.00     98.99

03:24:56 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:24:57 PM     all      0.38      0.00      0.38      0.00      0.00     99.25
03:24:57 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:24:57 PM       1      2.02      0.00      0.00      0.00      0.00     97.98
03:24:57 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:24:57 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:24:57 PM       4      0.99      0.00      0.99      0.00      0.00     98.02
03:24:57 PM       5      0.00      0.00      1.00      0.00      0.00     99.00
03:24:57 PM       6      0.00      0.00      1.00      0.00      0.00     99.00
03:24:57 PM       7      1.00      0.00      0.00      0.00      0.00     99.00

03:24:57 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:24:58 PM     all      0.25      0.00      0.00      0.13      0.00     99.62
03:24:58 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:24:58 PM       1      1.00      0.00      0.00      1.00      0.00     98.00
03:24:58 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:24:58 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:24:58 PM       4      0.00      0.00      1.03      0.00      0.00     98.97
03:24:58 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:24:58 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:24:58 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:24:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:24:59 PM     all      0.13      0.00      0.25      0.00      0.00     99.62
03:24:59 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:24:59 PM       1      1.00      0.00      0.00      0.00      0.00     99.00
03:24:59 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:24:59 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:24:59 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:24:59 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:24:59 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:24:59 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:24:59 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:00 PM     all      0.63      0.00      0.38      0.00      0.00     99.00
03:25:00 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:25:00 PM       1      1.02      0.00      0.00      0.00      0.00     98.98
03:25:00 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:25:00 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:25:00 PM       4      2.02      0.00      1.01      0.00      0.00     96.97
03:25:00 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:25:00 PM       6      0.99      0.00      0.00      0.00      0.00     99.01
03:25:00 PM       7      0.00      0.00      1.00      0.00      0.00     99.00

03:25:00 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:01 PM     all      0.25      0.00      0.25      0.00      0.00     99.50
03:25:01 PM       0      1.00      0.00      0.00      0.00      0.00     99.00
03:25:01 PM       1      2.00      0.00      0.00      0.00      0.00     98.00
03:25:01 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:25:01 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:25:01 PM       4      0.00      0.00      2.04      0.00      0.00     97.96
03:25:01 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:25:01 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
03:25:01 PM       7      0.00      0.00      0.00      0.00      0.00    100.00

03:25:01 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:25:02 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
03:25:02 PM       0      0.00      0.00      0.00      0.00      0.00    100.00
03:25:02 PM       1      0.00      0.00      0.00      0.00      0.00    100.00
03:25:02 PM       2      0.00      0.00      0.00      0.00      0.00    100.00
03:25:02 PM       3      0.00      0.00      0.00      0.00      0.00    100.00
03:25:02 PM       4      0.00      0.00      0.00      0.00      0.00    100.00
03:25:02 PM       5      0.00      0.00      0.00      0.00      0.00    100.00
03:25:02 PM       6      0.00      0.00      0.00      0.00      0.00    100.00
