Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2018-09-07 15:24:54,enp0s31f6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:24:54,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:24:54,wlp3s0,1.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:24:55,enp0s31f6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:24:55,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:24:55,wlp3s0,1.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:24:56,enp0s31f6,40.00,38.00,14.08,9.72,0.00,0.00,0.00,0.12
2018-09-07 15:24:56,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:24:56,wlp3s0,9.00,0.00,1.09,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:24:57,enp0s31f6,1689.00,700.00,2490.11,47.90,0.00,0.00,0.00,20.40
2018-09-07 15:24:57,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:24:57,wlp3s0,2.00,0.00,0.28,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:24:58,enp0s31f6,2407.00,973.00,3549.14,66.54,0.00,0.00,0.00,29.07
2018-09-07 15:24:58,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:24:58,wlp3s0,2.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:24:59,enp0s31f6,2148.51,859.41,3170.44,58.77,0.00,0.00,0.00,25.97
2018-09-07 15:24:59,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:24:59,wlp3s0,1.98,0.00,0.54,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:00,enp0s31f6,2410.00,968.00,3552.85,66.18,0.00,0.00,0.00,29.10
2018-09-07 15:25:00,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:00,wlp3s0,6.00,0.00,1.66,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:01,enp0s31f6,2412.00,965.00,3553.29,66.00,0.00,0.00,0.00,29.11
2018-09-07 15:25:01,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:01,wlp3s0,8.00,1.00,0.93,0.07,0.00,0.00,0.00,0.00
2018-09-07 15:25:02,enp0s31f6,2268.00,911.00,3345.60,62.28,0.00,0.00,0.00,27.41
2018-09-07 15:25:02,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:02,wlp3s0,11.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:03,enp0s31f6,2312.00,930.00,3405.21,63.62,0.00,0.00,0.00,27.90
2018-09-07 15:25:03,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:03,wlp3s0,13.00,0.00,3.59,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:04,enp0s31f6,2411.00,962.00,3552.92,65.77,0.00,0.00,0.00,29.11
2018-09-07 15:25:04,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
