Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2018-09-07 14:36:41,enp0s31f6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:41,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:41,wlp3s0,20.00,0.00,4.47,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:42,enp0s31f6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:42,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:42,wlp3s0,7.00,0.00,1.39,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:43,enp0s31f6,23.00,23.00,9.87,5.97,0.00,0.00,0.00,0.08
2018-09-07 14:36:43,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:43,wlp3s0,6.00,0.00,1.09,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:44,enp0s31f6,975.00,412.00,1425.72,30.91,0.00,0.00,0.00,11.68
2018-09-07 14:36:44,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:44,wlp3s0,16.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:45,enp0s31f6,2402.00,969.00,3553.82,66.26,0.00,0.00,0.00,29.11
2018-09-07 14:36:45,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:45,wlp3s0,10.00,1.00,2.23,0.07,0.00,0.00,0.00,0.00
2018-09-07 14:36:46,enp0s31f6,2372.00,951.00,3508.76,65.06,0.00,0.00,0.00,28.74
2018-09-07 14:36:46,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:46,wlp3s0,9.00,0.00,1.94,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:47,enp0s31f6,2196.00,879.00,3247.28,60.13,0.00,0.00,0.00,26.60
2018-09-07 14:36:47,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:47,wlp3s0,14.00,0.00,3.44,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:48,enp0s31f6,2404.00,963.00,3555.62,65.88,0.00,0.00,0.00,29.13
2018-09-07 14:36:48,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:48,wlp3s0,10.00,0.00,2.60,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:49,enp0s31f6,2403.00,954.00,3554.72,65.25,0.00,0.00,0.00,29.12
2018-09-07 14:36:49,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:49,wlp3s0,5.00,0.00,0.51,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:50,enp0s31f6,2236.00,910.00,3306.32,62.24,0.00,0.00,0.00,27.09
2018-09-07 14:36:50,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:50,wlp3s0,7.00,0.00,0.93,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:51,enp0s31f6,2330.00,936.00,3447.08,64.01,0.00,0.00,0.00,28.24
2018-09-07 14:36:51,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:51,wlp3s0,7.00,0.00,1.79,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:52,enp0s31f6,2404.00,970.00,3555.62,66.36,0.00,0.00,0.00,29.13
2018-09-07 14:36:52,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:52,wlp3s0,17.00,0.00,2.52,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:53,enp0s31f6,2343.00,932.00,3465.77,63.76,0.00,0.00,0.00,28.39
2018-09-07 14:36:53,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:53,wlp3s0,15.00,1.00,3.19,0.07,0.00,0.00,0.00,0.00
2018-09-07 14:36:54,enp0s31f6,2224.00,899.00,3289.37,61.49,0.00,0.00,0.00,26.95
2018-09-07 14:36:54,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:54,wlp3s0,6.00,0.00,1.14,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:55,enp0s31f6,2402.00,965.00,3553.82,65.99,0.00,0.00,0.00,29.11
2018-09-07 14:36:55,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:55,wlp3s0,4.00,0.00,0.64,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:56,enp0s31f6,2403.00,959.00,3554.72,65.59,0.00,0.00,0.00,29.12
2018-09-07 14:36:56,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:56,wlp3s0,10.00,0.00,2.46,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:57,enp0s31f6,2209.00,889.00,3267.71,60.81,0.00,0.00,0.00,26.77
2018-09-07 14:36:57,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:57,wlp3s0,6.00,0.00,0.65,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:58,enp0s31f6,2357.00,948.00,3486.53,64.84,0.00,0.00,0.00,28.56
2018-09-07 14:36:58,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:58,wlp3s0,1.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:59,enp0s31f6,2404.00,964.00,3555.62,65.95,0.00,0.00,0.00,29.13
2018-09-07 14:36:59,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 14:36:59,wlp3s0,2.00,0.00,1.04,0.00,0.00,0.00,0.00,0.00
